Winter;Estimated number of wolves;Estimated number of wolves;Annual rate of popultion increase;N packs;N packs;N pairs;N loners;Mean group size;Largest group;Area occupied;Nearest neighbour distance between wolf groups;N litters;N dead wolves
2001/2002;9;9;-;1;1;2;2;1.8±0.37;3;-;163;1;0
2002/2003;7;7;0.78;1;1;1;1;1.8±0.48 ;3;0.67;260;1;0
2003/2004;8;8;1.14;0;0;3;3;1.6±0.25 ;2;1.5;97±4.9;0;0
2004/2005;18;18;2.25;2;2;3;3;2.3±0.45 ;5;1.83;59±6.8 ;2;0
2005/2006;23;25;1.33;4;4;1;1;4.2±0.95 ;8;1.64;81±7.1 ;4;2
2006/2007;25;25;1.04;4;4;2;2;3.4±0.72 ;6;1.39;44±6.8 ;3;2
2007/2008;34;36;1.40;5;5;4;4;3.6±0.81 ;9;1.20;41±3.6 ;5;0
2008/2009;49;56;1.51;9;9;5;5;3.6±0.57 ;8;1.57;39±3.7 ;9;1
2009/2010;69;75;1.36;15;15;1;1;4.7±0.45 ;8;1.15;33±3.5 ;11;2
2010/2011;89;100;1.32;17;17;5;5;4.5±0.47 ;9;1.33;27±3.2 ;15;4
2011/2012;111;116;1.20;20;20;6;6;4.5±0.37 ;9;1.21;28±3.4;20;5
2012/2013;136;142;1.22;25;26;4;5;4.8±0.35 ;8;1.25; 25±2.7 ;25;12
